,Exchange,Token,LotSize,Symbol,TradingSymbol,Expiry,Instrument,OptionType,StrikePrice,TickSize,Unnamed: 10
91,NFO,71547,50,NIFTY,NIFTY24JUN27C18000,24-JUN-2027,OPTIDX,CE,18000.0,0.05,
92,NFO,71546,50,NIFTY,NIFTY24JUN27P17000,24-JUN-2027,OPTIDX,PE,17000.0,0.05,
93,NFO,71545,50,NIFTY,NIFTY24JUN27C17000,24-JUN-2027,OPTIDX,CE,17000.0,0.05,
94,NFO,71544,50,NIFTY,NIFTY24JUN27P16000,24-JUN-2027,OPTIDX,PE,16000.0,0.05,
95,NFO,71543,50,NIFTY,NIFTY24JUN27C16000,24-JUN-2027,OPTIDX,CE,16000.0,0.05,
96,NFO,71541,50,NIFTY,NIFTY24JUN27P15000,24-JUN-2027,OPTIDX,PE,15000.0,0.05,
97,NFO,71540,50,NIFTY,NIFTY24JUN27C15000,24-JUN-2027,OPTIDX,CE,15000.0,0.05,
98,NFO,71539,50,NIFTY,NIFTY24JUN27P14000,24-JUN-2027,OPTIDX,PE,14000.0,0.05,
99,NFO,71523,50,NIFTY,NIFTY24JUN27C14000,24-JUN-2027,OPTIDX,CE,14000.0,0.05,
100,NFO,71522,50,NIFTY,NIFTY24JUN27P13000,24-JUN-2027,OPTIDX,PE,13000.0,0.05,
101,NFO,71521,50,NIFTY,NIFTY24JUN27C13000,24-JUN-2027,OPTIDX,CE,13000.0,0.05,
102,NFO,71520,50,NIFTY,NIFTY24JUN27P12000,24-JUN-2027,OPTIDX,PE,12000.0,0.05,
103,NFO,71519,50,NIFTY,NIFTY24JUN27C12000,24-JUN-2027,OPTIDX,CE,12000.0,0.05,
104,NFO,71518,50,NIFTY,NIFTY24JUN27P11000,24-JUN-2027,OPTIDX,PE,11000.0,0.05,
105,NFO,71517,50,NIFTY,NIFTY24JUN27C11000,24-JUN-2027,OPTIDX,CE,11000.0,0.05,
106,NFO,71516,50,NIFTY,NIFTY24JUN27P10000,24-JUN-2027,OPTIDX,PE,10000.0,0.05,
107,NFO,71515,50,NIFTY,NIFTY24JUN27C10000,24-JUN-2027,OPTIDX,CE,10000.0,0.05,
108,NFO,71514,50,NIFTY,NIFTY24JUN27P9000,24-JUN-2027,OPTIDX,PE,9000.0,0.05,
109,NFO,71513,50,NIFTY,NIFTY24JUN27C9000,24-JUN-2027,OPTIDX,CE,9000.0,0.05,
110,NFO,71512,50,NIFTY,NIFTY24JUN27P8000,24-JUN-2027,OPTIDX,PE,8000.0,0.05,
111,NFO,71511,50,NIFTY,NIFTY24JUN27C8000,24-JUN-2027,OPTIDX,CE,8000.0,0.05,
112,NFO,71506,50,NIFTY,NIFTY31DEC26P26000,31-DEC-2026,OPTIDX,PE,26000.0,0.05,
